
# TURKISH_SERIES_DATABASE
# Format: ID | Series Name | Season | Episode | URL
# Encoding: UTF-8
------------------------------------------------------------------------------------------------------------------------------------------------------
(The actual content will be copied from FINAL_TURKISH_SERIES_CLEAN.txt by a script to ensure no data loss)
# סדרות מהרשימה האישית שלך בלבד
------------------------------------------------------------------------------------------------------------------------------------------------------
172    | הקיץ האחרון                    | 1 עונה          | פרק 46          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E46.mp4?v=r7f3a9c2#
173    | הקיץ האחרון                    | 1 עונה          | פרק 47          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E47.mp4?v=r7f3a9c2#
174    | הקיץ האחרון                    | 1 עונה          | פרק 48          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E48.mp4?v=r7f3a9c2#
175    | הקיץ האחרון                    | 1 עונה          | פרק 49          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E49.mp4?v=r7f3a9c2#
176    | הקיץ האחרון                    | 1 עונה          | פרק 50          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E50.mp4?v=r7f3a9c2#
177    | הקיץ האחרון                    | 1 עונה          | פרק 51          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E51.mp4?v=r7f3a9c2#
178    | הקיץ האחרון                    | 1 עונה          | פרק 52          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E52.mp4?v=r7f3a9c2#
179    | הקיץ האחרון                    | 1 עונה          | פרק 53          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E53.mp4?v=r7f3a9c2#
180    | הקיץ האחרון                    | 1 עונה          | פרק 54          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E54.mp4?v=r7f3a9c2#
181    | הקיץ האחרון                    | 1 עונה          | פרק 55          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E55.mp4?v=r7f3a9c2#
182    | הקיץ האחרון                    | 1 עונה          | פרק 56          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E56.mp4?v=r7f3a9c2#
183    | הקיץ האחרון                    | 1 עונה          | פרק 57          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E57.mp4?v=r7f3a9c2#
184    | הקיץ האחרון                    | 1 עונה          | פרק 58          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E58.mp4?v=r7f3a9c2#
185    | הקיץ האחרון                    | 1 עונה          | פרק 59          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E59.mp4?v=r7f3a9c2#
186    | הקיץ האחרון                    | 1 עונה          | פרק 60          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E60.mp4?v=r7f3a9c2#
187    | הקיץ האחרון                    | 1 עונה          | פרק 61          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E61.mp4?v=r7f3a9c2#
188    | הקיץ האחרון                    | 1 עונה          | פרק 62          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E62.mp4?v=r7f3a9c2#
